aut;trad;ini;ext;num;yr;iniper;gen;;
Paul Adam;anon no;15;1.05;16;2;47;prosa;;
Anatole France;anon no;16;0.25;16;2;50;prosa;;
Edmond Haraucourt;anon no;23;1.85;16;2;72;prosa;;
Jules Renard;anon no;31;0.3;16;2;97;prosa;;
Paul Verlaine;Rafael de Alba;32;0.3;16;2;100;poesia;;
Gaston Maspero;anon si;5;2.4;17;2;16;prosa;;
Anatole France;anon no;12;1.4;17;2;38;prosa;;
Francois Carry;anon no;14;3;17;2;44;prosa;;
Henry Wadsworth Longfellow;Diego Fallon;21;0.65;17;2;66;poesia;;
Ed. and J. de Goncourt;anon no;27;1.1;17;2;84;prosa;;
Jean Lahor;Enrique Fernandez Granados;28;0.25;17;2;88;poesia;;
Jean Lahor;Balbino Davalos;16;0.6;18;2;50;poesia;;
Jean Richepin;anon no;27;3.4;18;2;84;prosa;;
Jose-Maria de Heredia;Joaquin D. Casasus;5;0.4;19;2;16;poesia;;
Jean Richepin;anon no;6;1.6;19;2;19;prosa;;
Octave Uzanne;anon no;10;1.7;19;2;31;prosa;;
William Cullen Bryant;Ignacio Mariscal;12;2;19;2;38;poesia;;
Lev Tolstoy;anon no;15;1;19;2;47;prosa;;
Victor Hugo;Leopoldo Diaz;16;1;19;2;50;poesia;;
[Anonymous];Alberto Ituarte;17;1;19;2;53;poesia;;
Jules Claretie;anon no;18;2.2;19;2;56;prosa;;
Eugene Chavette;anon no;24;2.1;19;2;75;drama;;
Alphonse de Lamartine;Manuel de Olaguibel;26;1.5;19;2;81;poesia;;
Bernard-Henri Gausseron;Bernardo Couto Castillo;2;4;20;2;6;prosa;;
Algernon Charles Swinburne;anon no;11;0.8;20;2;34;poesia;;
Friedrich Nietzsche;anon no;12;3.75;20;2;38;prosa;;
Sully Prudhomme;Francisco M. de Olaguibel;16;0.4;20;2;50;poesia;;
Alexander Pushkin;anon no;18;0.85;20;2;56;poesia;;
Anatole France;anon no;19;0.4;20;2;59;prosa;;
Jose-Maria de Heredia;J. A. de Izcue;20;0.5;20;2;63;poesia;;
Lev Tolstoy;anon no;20;2.5;20;2;63;prosa;;
Marceline Desbordes Valmore;Manuel de Olaguibel;23;0.75;20;2;72;poesia;;
Jose-Maria de Heredia;J. A. de Izcue;31;0.5;20;2;97;poesia;;
Nicolas Niembsch Strehlenau;anon no;32;1;20;2;100;poesia;;
Charles Baudelaire;Jose Juan Tablada;2;2;21;2;6;poesia;;
Jean Richepin;anon no;13;1;21;2;41;prosa;;
Scipio Sighele;anon no;15;1.75;21;2;47;prosa;;
Julien Roustain;E. Gonzalez Llorca;23;0.6;21;2;72;prosa;;
Eugenio de Castro;anon no;26;0.7;21;2;81;poesia;;
Guy de Maupassant;Alberto Leduc;29;2.3;21;2;91;prosa;;
Henrik Ibsen;anon no;24;0.75;22;2;75;drama;;
Anatole France;anon no;15;1.5;23;3;94;prosa;;
Auguste Villiers de l'Isle Adam;Bernardo Couto Castillo;4;0.45;24;3;25;prosa;;
Friedrich Nietzsche;anon no;5;7;24;3;31;prosa;;
Baron Grivot de Francourt;Bernardo Couto Castillo;14;1.4;24;3;88;prosa;;
Paul Verlaine;Guillermo Valencia;16;0.45;24;3;100;poesia;;
Theodore de Banville;anon no;16;0.4;24;3;100;prosa;;
Andre Lavertujon;Porfirio Parra;2;2;25;3;13;prosa;;
Georges Rodenbach;anon no;11;1.2;25;3;69;prosa;;
Stephane Mallarme;Guillermo Valencia;15;0.75;25;3;94;poesia;;
Ed. de Goncourt;anon si;16;1;25;3;100;prosa;;
no hay;no hay;;;26;3;;no hay;;
no hay;no hay;;;27;3;;no hay;;
Raoul Gineste;Balbino Davalos;1;1.8;28;3;6;poesia;;
Ed. and J. de Goncourt;anon si;9;1.2;29;3;56;prosa;;
Leconte de Lisle;Joaquin D. Casasus;10;0.4;29;3;63;poesia;;
J. H. Rosny;anon si;14;1;29;3;88;prosa;;
Henri Lichtenberger;anon si;4;4.2;30;3;25;prosa;;
Pierre Lasserre ;anon si;3;3.9;31;3;19;prosa;;
Remy de Gourmont;anon si;14;2.6;31;3;88;prosa;;
Maurice Pujo;anon si;4;5;32;3;25;prosa;;
Maurice Pujo;anon si;6;5.45;33;3;38;prosa;;
L'Ermitage (Various French authors);anon si;2;2.7;34;3;13;prosa;;
L. Vernols;anon si;10;0.85;34;3;63;prosa;;
Georges Pellissier;anon no;12;4.2;34;3;75;prosa;;
Edmond Rostand;anon no;3;4.1;35;3;19;drama;;
Bernard-Henri Gausseron;anon si;3;4.4;36;3;19;prosa;;
Andre Gide;anon no;11;4.85;36;3;69;prosa;;
Andre Gide;anon si;6;1;37;3;38;prosa;;
Lucien Moreau;anon si;13;3.75;37;3;81;prosa;;
Edgar A. Poe;Ignacio Mariscal;1;5.4;38;3;6;poesia;;
Lucien Moreau;anon si;9;2.5;38;3;56;prosa;;
Antonio Fogazzaro;anon no;15;1.45;38;3;94;prosa;;
Antonio Fogazzaro;Alberto Leduc;6;4.8;39;3;38;prosa;;
Octave Mirbeau;Bernardo Couto Castillo;15;1.4;39;3;94;prosa;;
Alfred Maury;anon si;12;2.75;40;3;75;prosa;;
Algernon Charles Swinburne;Balbino Davalos;15;0.5;40;3;94;poesia;;
Various Japanese authors;Jose Juan Tablada;10;0.7;41;3;63;poesia;;
Charles Morice;anon si;16;1;41;3;100;prosa;;
Rudyard Kipling;Ramon Guerrero;5;1.7;42;3;31;prosa;;
Stuart Merrill;anon si;12;1.6;42;3;75;prosa;;
Charles Le Goffic;anon si;14;2;42;3;88;prosa;;
Rudyard Kipling;Ramon Guerrero;2;3.25;43;3;13;prosa;;
Maurice Pujo;anon si;5;7.2;43;3;31;prosa;;
Jean Lorrain;Francisco M. de Olaguibel;8;0.3;44;3;50;poesia;;
